"EntityId","NeId","NeAlias","NeType","EntityType","Time","Failure","C_Avg_Value","C_Max_Value","C_Min_Value","C_from0to5_Value","C_from5to10_Value","C_from10to15_Value","C_from15to20_Value","C_from20to25_Value","C_from25to30_Value","C_from30to35_Value","C_from35to40_Value","C_from40to45_Value","C_from45to50_Value","C_from50to55_Value","C_from55to60_Value","C_from60to65_Value","C_from65to70_Value","C_from70to75_Value","C_from75to80_Value","C_from80to85_Value","C_from85to90_Value","C_from90to95_Value","C_from95to100_Value","ElementID"
EN-0-16849-1-0-11-9-4-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,7180.0,13246.0,4652.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-4-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-4-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,7194.0,13864.0,4618.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-4-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-4-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,7055.0,11955.0,4259.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-4-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-6-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-03 23:30:00.000,Success,144772.0,212445.0,106180.0,0.0,0.0,587.0,312.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-6-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-6-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-03 23:45:00.000,Success,141515.0,207876.0,98157.0,0.0,1.0,632.0,263.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-6-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-6-0-0-0-0-31-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth RX,2018-09-04 00:00:00.000,Success,144185.0,213935.0,88030.0,0.0,1.0,599.0,291.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_RX(EN-0-16849-1-0-11-9-6-0-0-0-0-31-0)
EN-0-16849-1-0-11-9-4-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-03 23:30:00.000,Success,29842.0,98379.0,12028.0,864.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-4-0-0-0-0-32-0)
EN-0-16849-1-0-11-9-4-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-03 23:45:00.000,Success,31206.0,71429.0,10102.0,878.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-4-0-0-0-0-32-0)
EN-0-16849-1-0-11-9-4-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-04 00:00:00.000,Success,31122.0,59900.0,10447.0,892.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-4-0-0-0-0-32-0)
EN-0-16849-1-0-11-9-6-0-0-0-0-32-0,16849,GL0030,AMM 20PB,LAN Eth Bandwidth TX,2018-09-03 23:30:00.000,Success,32490.0,45355.0,26385.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMM_20PB_LAN_Eth_Bandwidth_TX(EN-0-16849-1-0-11-9-6-0-0-0-0-32-0)
